FID_,WZ11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
,E33047674,345903.884000000020000,160741.875000000000000,610,58,97,97,211,37,13,7,13,50,27,7795.300000000000200,14.600000000000000
,E33047675,341674.201999999990000,157224.147000000000000,263,31,20,39,21,4,2,0,2,99,45,1070.400000000000100,9.000000000000000
,E33047672,339708.396000000010000,159197.340999999990000,347,32,29,43,21,10,3,2,2,119,86,1317.800000000000000,9.300000000000001
,E33047673,337895.859000000000000,159280.951000000000000,321,36,57,43,23,14,3,2,5,98,40,2054.400000000000100,11.199999999999999
,E33047468,363593.661000000020000,173013.727000000010000,451,67,55,37,21,3,3,1,3,122,139,1441.800000000000000,7.600000000000000
,E33047670,336818.093999999980000,158848.722000000010000,246,19,26,30,4,9,4,0,1,100,53,885.500000000000000,9.500000000000000
,E33047469,357723.352000000010000,172580.345000000000000,289,18,32,36,32,10,2,4,5,105,45,2184.300000000000200,15.699999999999999
,E33047671,336221.314000000010000,160021.081000000010000,361,83,63,10,10,3,4,1,7,95,85,1856.900000000000100,10.300000000000001
,E33047678,349426.521000000010000,159443.535000000000000,303,23,25,40,68,30,1,6,7,74,29,3447.599999999999900,17.199999999999999
,E33047679,341953.049000000000000,159619.227000000010000,405,39,31,127,61,32,3,5,9,64,34,4042.199999999999800,13.199999999999999
,E33045456,375247.901000000010000,164967.772999999990000,250,85,52,29,41,16,3,8,8,7,1,3162.099999999999900,13.100000000000000
,E33045457,375018.405000000030000,164934.891000000000000,256,76,61,27,72,4,2,3,8,2,1,2603.900000000000100,10.300000000000001
,E33047095,360093.750000000000000,173082.543999999990000,817,68,311,219,84,34,16,21,57,3,4,14946.299999999999000,18.500000000000000
,E33047094,359105.978000000000000,173697.043000000010000,476,101,182,104,35,14,7,8,14,9,2,5575.000000000000000,12.000000000000000
,E33047093,359153.082999999980000,173674.057000000000000,528,96,207,115,42,20,14,11,20,1,2,5722.699999999999800,10.900000000000000
,E33047092,358639.799000000000000,173322.105000000010000,329,67,108,71,41,11,9,4,5,8,5,2757.300000000000200,8.699999999999999
,E33047091,358771.452999999980000,173284.046000000000000,604,92,155,154,114,49,14,13,13,0,0,7330.399999999999600,12.100000000000000
,E33047090,358651.005999999990000,173230.690999999990000,284,55,101,65,31,10,5,4,6,7,0,2688.699999999999800,9.699999999999999
,E33047566,352215.996999999970000,175908.304000000000000,338,67,14,58,46,19,7,14,8,51,54,3417.400000000000100,14.699999999999999
,E33047567,353204.760000000010000,175721.723000000000000,825,96,66,217,148,71,31,43,46,58,49,15040.700000000001000,20.899999999999999
,E33047564,346734.603999999990000,175796.407000000010000,298,78,15,43,46,16,3,4,12,49,32,4570.399999999999600,21.100000000000001
,E33047565,347377.277000000000000,176060.744000000010000,406,57,24,36,95,15,14,11,10,89,55,3968.000000000000000,15.100000000000000
,E33047562,347770.065000000000000,176800.201000000000000,262,32,8,8,10,3,1,2,0,127,71,427.899999999999980,6.700000000000000
,E33047563,346576.880000000000000,175299.151000000010000,446,74,40,56,104,12,5,4,23,65,63,7630.199999999999800,24.000000000000000
,E33047560,344842.897000000000000,175498.965999999990000,1704,224,148,182,486,257,58,79,33,155,82,25181.500000000000000,17.199999999999999
,E33047561,347248.799999999990000,175503.154000000010000,487,94,19,52,127,16,21,15,20,74,49,7133.300000000000200,19.600000000000001
,E33047776,368966.364999999990000,177631.122000000000000,249,15,38,33,20,11,6,4,5,68,49,2332.800000000000200,17.699999999999999
,E33047777,368897.509000000020000,179186.282000000010000,727,26,181,262,90,51,20,7,11,51,28,7274.500000000000000,11.199999999999999
,E33047774,360434.058000000020000,179764.932000000000000,660,58,144,170,96,31,28,23,3,46,61,5991.100000000000400,10.800000000000001
,E33047775,359849.778999999980000,178309.165000000010000,420,79,65,67,36,8,3,0,3,84,75,1839.599999999999900,7.000000000000000
